variable,coefficient,pvalue,std_error,policy,var,lower,upper,r2,grp
P_m11,13.497443332205794,0.00047694728381397766,3.6907651956209264,dt,num_visits_wt,5.7148723884443475,21.85295551995914,0.6457222133902387,fr_grp_v_thr_3
P_m12,28.102633800277776,0.0,1.5001238061486122,dt,num_visits_wt,24.418170435351747,31.89620719503288,0.6457222133902387,fr_grp_v_thr_3
P_m13,19.44817505183245,1.7763568394002505e-14,2.3450849400155516,dt,num_visits_wt,14.14281516181446,25.00012815512198,0.6457222133902387,fr_grp_v_thr_3
P_m21,27.361632370534927,2.5979218776228663e-14,3.2263817091367386,dt,num_visits_wt,19.67662471779561,35.54013106851328,0.6457222133902387,fr_grp_v_thr_3
P_m22,9.069133977113752,0.0043586847768986026,3.0918301460109543,dt,num_visits_wt,2.750232196247837,15.776633611850844,0.6457222133902387,fr_grp_v_thr_3
P_m23,14.190547131191057,0.005866734668538376,4.934267865476438,dt,num_visits_wt,3.9041579482523403,25.495276720445137,0.6457222133902387,fr_grp_v_thr_3
P_m31,31.684728301141508,1.2434497875801753e-14,3.6337769627807104,dt,num_visits_wt,22.787277620544067,41.22690887678808,0.6457222133902387,fr_grp_v_thr_3
P_m32,33.363847558898364,4.440892098500626e-16,3.612899752005183,dt,num_visits_wt,24.402058936590688,42.97123365762607,0.6457222133902387,fr_grp_v_thr_3
P_m33,15.982357364392708,1.2001557614382818e-07,2.840553112096811,dt,num_visits_wt,9.786802943565265,22.527543011854622,0.6457222133902387,fr_grp_v_thr_3
P_m0,14.996086056532398,3.76414248659529e-08,2.572307494835724,dt,num_visits_wt,9.41186229590405,20.865320549584144,0.6457222133902387,fr_grp_v_thr_3
rain,-0.11957015038264185,0.10035773731831621,0.07284016410644689,dt,num_visits_wt,-0.26200997435781304,0.023073097618309113,0.6457222133902387,fr_grp_v_thr_3
fuel_price,45.15900196616875,0.0,4.423635214582267,dt,num_visits_wt,33.351832224900214,58.01159609323807,0.6457222133902387,fr_grp_v_thr_3
fuel_price_year,-37.81307905315763,0.0022953151259752502,16.85834184449302,dt,num_visits_wt,-54.176480693439984,-15.606369930316555,0.6457222133902387,fr_grp_v_thr_3
P_m11,18.839564888243075,6.294578192012068e-10,2.8309826740163357,dt,num_visits_wt,12.511904751704893,25.52309210295305,0.6456145869238049,fr_grp_v_thr_4
P_m12,21.766940957400884,6.958544851443094e-11,3.065874224335152,dt,num_visits_wt,14.769022047699387,29.191550521017717,0.6456145869238049,fr_grp_v_thr_4
P_m13,21.45060388902913,0.0,1.652686890816657,dt,num_visits_wt,17.610735148092104,25.415840368966002,0.6456145869238049,fr_grp_v_thr_4
P_m21,29.50771296639867,0.0,1.6667109926062462,dt,num_visits_wt,25.37920033670924,33.772170126662004,0.6456145869238049,fr_grp_v_thr_4
P_m22,7.823990680721971,0.15143343779382068,5.39168496678486,dt,num_visits_wt,-2.7217428891062267,19.512965297714736,0.6456145869238049,fr_grp_v_thr_4
P_m23,7.637484968132657,0.2563680052516515,6.699228096294263,dt,num_visits_wt,-5.208706023677012,22.224601904462826,0.6456145869238049,fr_grp_v_thr_4
P_m31,37.99473592718592,0.0,2.630592494756656,dt,num_visits_wt,31.147593851079304,45.19936343808919,0.6456145869238049,fr_grp_v_thr_4
P_m32,37.648915538788266,1.3322676295501878e-15,4.082793174347477,dt,num_visits_wt,27.265503686326188,48.87949522994124,0.6456145869238049,fr_grp_v_thr_4
P_m33,18.912161477777857,0.00034448083594829093,4.958322093467715,dt,num_visits_wt,8.151848566964759,30.743046324926592,0.6456145869238049,fr_grp_v_thr_4
P_m0,15.677242727002438,1.0863898358692836e-07,2.7797139510099322,dt,num_visits_wt,9.625059980669871,22.063554512821646,0.6456145869238049,fr_grp_v_thr_4
rain,-0.12027655572171003,0.09840845714981028,0.07284969359950821,dt,num_visits_wt,-0.2627339871227097,0.022384351476967268,0.6456145869238049,fr_grp_v_thr_4
fuel_price,45.197111856015894,0.0,4.450176365864467,dt,num_visits_wt,33.32041924185951,58.1318256514233,0.6456145869238049,fr_grp_v_thr_4
fuel_price_year,-38.04627877804917,0.0020306637167732955,16.78461854631468,dt,num_visits_wt,-54.291817060887524,-16.026774060125682,0.6456145869238049,fr_grp_v_thr_4
P_m11,20.814411493577456,4.1138870088275326e-11,2.906401346960341,dt,num_visits_wt,14.217356450614949,27.79250438045726,0.6454278181121349,fr_grp_v_thr_5
P_m12,17.545274138890644,0.008925716197758948,6.377130190788938,dt,num_visits_wt,4.131837304650565,32.68652344972966,0.6454278181121349,fr_grp_v_thr_5
P_m13,25.301453621119265,0.0,2.4405063863875753,dt,num_visits_wt,19.517616025966156,31.365189514443202,0.6454278181121349,fr_grp_v_thr_5
P_m21,24.152386123006654,2.036300017493886e-10,3.4608670500356764,dt,num_visits_wt,16.143369160877263,32.71368905000094,0.6454278181121349,fr_grp_v_thr_5
P_m22,5.904601879172922,0.4102083338697522,7.214570658955766,dt,num_visits_wt,-7.611385903252188,21.39791043343431,0.6454278181121349,fr_grp_v_thr_5
P_m23,5.370484813121967,0.5162160346581279,8.391673825373825,dt,num_visits_wt,-10.023679355964765,23.398456285825155,0.6454278181121349,fr_grp_v_thr_5
P_m31,39.47757684624098,0.0,2.0205575066796433,dt,num_visits_wt,34.11483801521611,45.054751068572216,0.6454278181121349,fr_grp_v_thr_5
P_m32,30.792588244242538,8.463230116717568e-12,4.008319893292112,dt,num_visits_wt,21.096142783550633,41.26545029765967,0.6454278181121349,fr_grp_v_thr_5
P_m33,24.499870357708286,1.6355125753708677e-06,4.677173769074261,dt,num_visits_wt,13.830781352203324,36.168947756995664,0.6454278181121349,fr_grp_v_thr_5
P_m0,16.42548821418448,6.134568186766387e-09,2.650729100219462,dt,num_visits_wt,10.606049691051211,22.551111297919313,0.6454278181121349,fr_grp_v_thr_5
rain,-0.12054098254281609,0.09649850978228591,0.07259464555466888,dt,num_visits_wt,-0.2624998275633561,0.02161991600466706,0.6454278181121349,fr_grp_v_thr_5
fuel_price,45.14321502420196,0.0,4.481004449730408,dt,num_visits_wt,33.19387062050405,58.164581969275005,0.6454278181121349,fr_grp_v_thr_5
fuel_price_year,-38.135336119149684,0.0020967093626769184,16.89542121708303,dt,num_visits_wt,-54.44227811810216,-15.991483353531756,0.6454278181121349,fr_grp_v_thr_5
P_m11,21.466788425239102,0.0,2.0196705665471493,dt,num_visits_wt,16.798532110954678,26.32162770954882,0.6453178217177533,fr_grp_v_thr_6
P_m12,34.45786755174298,1.7541523789077473e-14,3.93663941705491,dt,num_visits_wt,24.65802118709184,45.0281175202395,0.6453178217177533,fr_grp_v_thr_6
P_m13,25.410325420386325,1.3776757512573568e-11,3.4060231391871865,dt,num_visits_wt,17.44214642241799,33.919127001284096,0.6453178217177533,fr_grp_v_thr_6
P_m21,3.8665384196221675,0.09921232385871792,2.3277007109852255,dt,num_visits_wt,-0.7137026088760434,8.658073538346066,0.6453178217177533,fr_grp_v_thr_6
P_m22,-6.41477835924179,0.7458241576948192,22.69453053530126,dt,num_visits_wt,-37.32229673219941,39.73380090411172,0.6453178217177533,fr_grp_v_thr_6
P_m23,-6.284765038090157,0.17129465123548826,4.859007218158484,dt,num_visits_wt,-14.606721645667564,2.848203432634522,0.6453178217177533,fr_grp_v_thr_6
P_m31,34.947856453365134,0.0,2.54387488980532,dt,num_visits_wt,28.464557014374137,41.7583525339241,0.6453178217177533,fr_grp_v_thr_6
