variable,coefficient,pvalue,std_error,policy,var,lower,upper,r2,grp
P_m,19.86669154554439,0.0,0.6395923130268821,1,num_visits_wt,18.37817365409371,21.37392644744367,0.1746952893053767,all
rain_m,2.0501357012574495,0.0007216750540590677,0.6020052196254566,1,num_visits_wt,0.8566808052770991,3.2577129595579235,0.1746952893053767,all
rain,-1.5895856893785476,0.017890579927763994,0.6790007833678446,1,num_visits_wt,-2.8862043484564004,-0.275655175318712,0.1746952893053767,all
fuel_price,315.2200747733521,0.0,3.287048411801141,1,num_visits_wt,289.71663944673855,342.3924796733001,0.1746952893053767,all
P_m1,-10.657860240862128,2.0523736043998042e-09,1.898074210720857,1,num_visits_wt,-13.89044789316971,-7.303919931686842,0.20288710397206944,pt_grp
P_m2,4.2272727663279275,0.04231278368768443,2.0600885990083695,1,num_visits_wt,0.14379579703782674,8.477258145110689,0.20288710397206944,pt_grp
P_m3,21.347097324650697,2.1533885785629536e-12,2.792847878355942,1,num_visits_wt,14.969473449323512,28.078502817609397,0.20288710397206944,pt_grp
P_m4,74.79321581481993,0.0,3.0866008406839507,1,num_visits_wt,64.68297265770946,85.52414862214914,0.20288710397206944,pt_grp
rain_m,2.0216465360369362,0.0003799444383709716,0.5648100861957106,1,num_visits_wt,0.9016300838319058,3.154095263639012,0.20288710397206944,pt_grp
rain,-1.6305993902993143,0.017474463557789033,0.6941684276690951,1,num_visits_wt,-2.955334646873675,-0.2877804658218741,0.20288710397206944,pt_grp
fuel_price,313.3287183404308,0.0,3.3088424493037394,1,num_visits_wt,287.78106544920064,340.5594925245862,0.20288710397206944,pt_grp
P_m1,1.9193171726993974,0.5778916493633748,3.475460429906363,1,num_visits_wt,-4.681807268473559,8.977592999553607,0.17844813969431328,f_grp
P_m2,16.531694507063378,2.7436674021830143e-05,3.7154721855051642,1,num_visits_wt,8.490391502978856,25.16901853298854,0.17844813969431328,f_grp
P_m3,29.7258769890528,0.0,2.7691570267559973,1,num_visits_wt,22.96342911633429,36.86022975707131,0.17844813969431328,f_grp
P_m4,31.86511498426221,0.0,2.216963416040252,1,num_visits_wt,26.317996713717108,37.65582895698702,0.17844813969431328,f_grp
rain_m,1.9996953141989904,0.0037078223747135652,0.6846072203595233,1,num_visits_wt,0.6448006611579293,3.3728297521944617,0.17844813969431328,f_grp
rain,-1.5441578964429548,0.024625309956227914,0.6949020586200172,1,num_visits_wt,-2.871444234755227,-0.19873385382743747,0.17844813969431328,f_grp
fuel_price,315.1047038021597,0.0,3.361500660690808,1,num_visits_wt,289.0585035182825,342.89461240520467,0.17844813969431328,f_grp
P_m1,20.0355150558601,0.0,1.5457928515678176,1,num_visits_wt,16.480334179729272,23.69920618954653,0.1777707201479788,g_grp
